Latitude,Longitude
24.834928,67.37418
24.95023384,67.14652273
24.90355882,67.03451601
24.95526143,67.05072287
24.83293957,67.02671856
24.92923115,67.05975658
24.93125642,67.07072057
24.95973693,67.21671822
24.9868991,67.0582075
24.87028342,67.18537265
24.88469034,67.19762878
24.82061773,67.17339805
24.90114633,67.21575958
24.90296563,67.21203808
24.90749096,67.20805436
24.93630575,67.03530798
24.9371435,66.9935861
24.8869442,67.05939151
24.99998539,67.12879249
24.88097803,67.15767815
25.0009786,67.05650546
24.83470999,67.23624633
24.90156971,67.19902537
24.93081373,67.09864032
24.90810932,67.1379293
24.93886259,67.05240531
24.89826585,67.19009428
24.91013755,67.0729979
24.82345387,67.16568381
24.93278763,67.06574524
25.01357848,67.1201102
24.97068132,67.05877104
24.94458652,67.07551622
24.8576959,67.19069279
24.93892746,67.15532073
24.92478152,67.06670319
24.88443596,67.13281449
24.85789082,67.19099327
24.9273577,67.178153
24.90184247,67.21705461
24.84507347,67.19843542
24.83668594,67.04968157
24.87814463,67.35930217
24.81254152,67.16204523
24.83859203,67.18185753
24.92568842,67.0596203
24.89750013,67.04372377
24.92548756,67.03911601
24.91456905,67.05141107
24.95806831,66.98126807
24.87477621,67.18692188
24.90252284,67.1825504
25.00738382,67.05773387
24.93821093,67.08131071
24.94566256,67.080152
24.86881952,67.18718544
24.92501608,66.96163262
24.84015287,67.15779777
24.86778896,67.35621809
24.83651004,67.1483497
24.91719728,67.05443144
24.94744625,67.18562264
24.87229227,67.35930863
24.9476422,67.10958734
24.93402847,67.05017479
24.85863603,67.02857794
24.99282767,67.06311027
24.92339549,67.10175598
24.90613874,67.03529945
24.87917398,67.36172366
24.90769363,67.1126957
24.90902706,67.12412111
24.97560756,67.1746762
24.95631022,67.11660815
24.92419835,67.09242797
24.92852785,67.07389215
24.85040249,67.22309594
24.85479716,67.01673617
24.884769,67.02551231
24.92576521,67.08783096
24.9064293,67.02771525
24.8722728,67.35915843
24.78973702,67.06359353
24.92158166,67.11740715
24.94588998,67.01157553
24.94768942,67.09618387
24.83623803,67.07082257
24.90673764,67.11282323
24.81142197,67.03456019
24.96552895,67.07157797
24.89962875,67.21424043
24.96464932,67.054143
24.93221918,67.15670327
24.88451342,67.17352946
25.00501314,67.05608702
25.0040958,67.07179929
24.98767574,67.05952475
24.92892288,67.16128296
24.83389952,67.1462923
24.87019724,67.35206652
24.83344218,67.15182864
24.98306973,67.17499134
24.86154097,67.00279023
24.92653843,67.09302167
24.90448462,67.19314895
24.84983639,67.26919576
24.93634028,67.07651281
24.93032252,67.17680456
24.90921497,67.03488079
24.91336856,67.05119362
24.96459786,67.07228529
24.82277472,67.05425354
24.88735766,67.15582358
24.83465062,67.03538241
